fingerprint, ipaddr, port
0A58B825C1159C2778BDA4817F10CB1DA4D6865D, 2a02:2f0a:e003:d500:dea6:32ff:fef0:5e0d, 9001
0A76C0A0A721DDBC324B705ADBFC95FD806AE855, 45.80.158.27, 110
0A8FB5E28FFE1DB020F2E37410B25ACA7367D8E9, 193.142.146.239, 9001
0ABA99986CC96F80A273E3F08856137A72DEF31F, 185.220.101.157, 11157
0ABA99986CC96F80A273E3F08856137A72DEF31F, 2a0b:f4c2:1::157, 11157
0ABC1EBFF50C8A58279AD07FBD73E183F9E00B86, 5.252.178.224, 9001
0AC3C86BC9CA2A50C7762EF42ABC6D37575ACFFB, 164.132.226.30, 22
0AC3C86BC9CA2A50C7762EF42ABC6D37575ACFFB, 2001:41d0:401:3100::7fda, 22
0ACF5BB9E37D33577F6C1AA9DEEB6E7EDDF8D2C0, 5.9.14.25, 993
0ACF5BB9E37D33577F6C1AA9DEEB6E7EDDF8D2C0, 2a01:4f8:160:8410::2, 993
0AF982CC71A01D95E8959D763D0EC0E5A6C61244, 45.80.158.205, 110
0AFD832F09B6C2C9E0FE99E78B29E2ED325B0E54, 185.246.188.149, 9999
0AFD832F09B6C2C9E0FE99E78B29E2ED325B0E54, 2a06:1700:3:34::1, 9999
0B45375A2CE8065E8A649D52CC35F39D128745A8, 95.216.27.105, 9001
0B45375A2CE8065E8A649D52CC35F39D128745A8, 2a01:4f9:2a:1b96:2::2, 443
0B4C1E806ACC18F2B8C4DA31F80E17999227066D, 217.117.29.93, 443
0B5B8E679E70C7E0465E541EEF3013082B4880E0, 141.145.206.8, 443
0B5B8E679E70C7E0465E541EEF3013082B4880E0, 2603:c027:c001:24ff:21d1:e097:3099:6f57, 443
0B5BC76B3BE7553B229FD3E73F26AED41C31DD19, 89.58.41.156, 9000
0B5BC76B3BE7553B229FD3E73F26AED41C31DD19, 2a03:4000:66:15:18a0:6bff:fe90:3147, 9000
0B5E5E70FFEA9C7F9FFD13B8E16916A608F3E9EB, 162.247.74.216, 443
0B74CE4B0524C16EBCA4FBCC41FF135AC4305052, 82.66.36.3, 9001
